"seed","year","true_ssb","est_ssb","true_rec","est_rec","true_infection","est_infection","convergence","message"
34029,1,54030.9624720975,55119.9002395117,199.639633929524,153.766965711203,0.693869403442909,0.951225816000182,0,"relative convergence (4)"
34029,2,47154.8871668497,44235.7699830263,265.076269284434,233.809273164994,0.00766217449626448,0,0,"relative convergence (4)"
34029,3,41951.7468887099,39020.6026538678,24.7786762345358,23.3080349054675,0.00433686743897468,0,0,"relative convergence (4)"
34029,4,42259.680402055,38106.2057780606,50.5746464840649,41.6643942082395,0.179519314558404,0.224718065588604,0,"relative convergence (4)"
34029,5,45793.720008444,40704.2406270763,152.93115066045,118.982058320985,0.66719843551107,0.565407698197827,0,"relative convergence (4)"
34029,6,40405.4668827046,37987.0478560617,738.853941617056,664.040937830787,0.13420493318626,0.178080748156949,0,"relative convergence (4)"
34029,7,35011.9189000202,32707.7211109749,67.7858935407503,68.2977023275195,0.00680283776490653,0,0,"relative convergence (4)"
34029,8,36087.7576894223,32829.8748304698,37.0072766360892,38.7925901928611,0.0722049224604026,0,0,"relative convergence (4)"
34029,9,53970.8718042668,48667.1484664545,28.2406189802628,14.2208370191589,0.895643547092906,0.964961501251938,0,"relative convergence (4)"
34029,10,56452.1923875359,54049.5468649203,23.5579049936356,21.1824468420188,0.81143155808728,0.877699832371998,0,"relative convergence (4)"
34029,11,45217.5713052595,45127.1564226743,40.091738512965,33.1363946142963,0.00179178993822348,0.0519241304901963,0,"relative convergence (4)"
34029,12,38075.2720603632,37665.80138507,115.983085062819,100.499007122855,0.00133079278872567,0,0,"relative convergence (4)"
34029,13,31782.4450340377,31008.6552531896,103.399433523313,88.9987811480975,0.00166469536411815,0,0,"relative convergence (4)"
34029,14,27175.3008166361,26195.5912764908,362.883640298906,326.970095747091,0.00207607222807115,0,0,"relative convergence (4)"
34029,15,26147.2529975298,24680.3530070535,71.3287241333213,71.3199642091546,0.00495765673254939,0,0,"relative convergence (4)"
34029,16,28052.1152495644,25922.7147938614,11.1013317422752,10.5475160237443,0.140382113503545,0.117122278759446,0,"relative convergence (4)"
34029,17,35478.1983390071,32665.6426105245,9.9714971290127,8.51929618505973,0.749610989454448,0.842322343501373,0,"relative convergence (4)"
34029,18,35615.792164656,34400.5022909096,6.51291586262177,7.55253436280256,0.612397684072521,0.584690145808057,0,"relative convergence (4)"
34029,19,29170.0290035946,29389.0030080783,17.2020329451483,16.0935108398345,0.00179268737029129,0.0254613244088909,0,"relative convergence (4)"
34029,20,23999.2911678786,24129.879687399,7.73790519706351,8.26820889377066,0.00128569099768956,0,0,"relative convergence (4)"
34029,21,19484.1582293144,19584.0079528411,57.1518877163167,55.3862502206316,0.002004912417649,0,0,"relative convergence (4)"
34029,22,15970.6148316207,16045.8013134827,33.1596623730107,27.5611141262788,0.00297327719221584,0,0,"relative convergence (4)"
34029,23,13382.218578358,13428.5514404944,92.9163054338793,89.5665438354497,0.00223481604246949,0,0,"relative convergence (4)"
34029,24,12497.5640198402,12478.6491939575,27.9780805784084,23.2593296494628,0.00193620993910917,0,0,"relative convergence (4)"
34029,25,12655.4452033477,12430.3385674613,15.4630412597778,13.1601867905038,0.00207163423295363,0,0,"relative convergence (4)"
34029,26,13853.9791445194,13407.8951340222,8.84133655886684,8.61323042438556,0.00592754642357828,0,0,"relative convergence (4)"
34029,27,14443.0545689469,13854.6236345394,2.90540436639536,3.21811680584398,0.0578166511752906,0.0616093004905719,0,"relative convergence (4)"
34029,28,12859.5460785557,12245.5070300961,33.8569031332019,30.0582320396517,0.0170590119689554,0,0,"relative convergence (4)"
34029,29,10921.3025900187,10397.0254122703,24.1636830197462,25.2885123848759,0.00701552055687711,0,0,"relative convergence (4)"
34029,30,9091.71912206178,8673.1591952359,402.463425633474,336.982792629124,0.154375588400595,0.147764736816968,0,"relative convergence (4)"
34029,31,8015.81948216756,7716.50061299465,321.808495555744,290.102433586354,0.00925790710583757,0,0,"relative convergence (4)"
34029,32,9294.9332720704,8782.4154178583,114.979392720309,106.308279633184,0.00415295042643654,0,0,"relative convergence (4)"
34029,33,20817.674419879,18458.3789292991,95.8531498886501,104.329361100177,0.847772848009991,0.752072286281642,0,"relative convergence (4)"
34029,34,33144.9345215961,30857.9132560946,54.996360718095,49.5745268746625,0.801699153002251,0.90768428574425,0,"relative convergence (4)"
34029,35,35438.4471808545,34094.4253255162,64.5779589225968,56.6629097415428,0.459547163851104,0.480503818904821,0,"relative convergence (4)"
34029,36,33562.6394255,33289.8612804631,96.022092255056,88.2971261775318,0.00585831991779269,0.0139519387043263,0,"relative convergence (4)"
34029,37,31528.6087071148,31357.4564957882,709.956640643504,613.419868216355,0.00811474248308235,0,0,"relative convergence (4)"
34029,38,28970.3153932759,28505.8013962276,629.615702443577,592.173834521349,0.010443198661657,0.000619933006530604,0,"relative convergence (4)"
34029,39,29988.4548017175,28887.1251197583,250.795783503923,269.65913602478,0.11345879521591,0.0635755286745093,0,"relative convergence (4)"
34029,40,48591.8539203112,44983.1169341528,479.765995128326,450.497975093708,0.893506372910891,0.867291277873809,0,"relative convergence (4)"
34029,41,68527.9176564315,66228.8551377229,59.6773216096577,51.8061156065596,0.877823244249465,0.93229811161442,0,"relative convergence (4)"
34029,42,73543.956473549,74632.5037748795,64.0149297788691,60.0040424402036,0.706966216838888,0.770075871408154,0,"relative convergence (4)"
34029,43,76277.8621576727,78642.2589729989,113.120449771054,118.380816270381,0.662788542701219,0.790073607980287,0,"relative convergence (4)"
