"seed","year","true_ssb","est_ssb","true_rec","est_rec","true_infection","est_infection","convergence","message"
34029,1,36674.0035519021,36418.1497642396,10.8328036064425,12.8598277422255,0.684771813101833,0.969778362570516,0,"relative convergence (4)"
34029,2,33470.6304528274,32607.9486193228,33.4048695259415,29.2371707242727,0.0834925294357899,0,0,"relative convergence (4)"
34029,3,28666.3141480319,29146.9606737142,80.2459850778456,83.3605439685018,0.00789425476464113,0.0138176929966459,0,"relative convergence (4)"
34029,4,26945.339796026,24729.1940649962,22.5727727187196,22.9199589564784,0.00543470898585423,0,0,"relative convergence (4)"
34029,5,22682.589098091,21090.4771872002,50.201925638703,43.1083380983944,0.0130871025160074,0,0,"relative convergence (4)"
34029,6,19986.6353739962,19858.323952438,85.5169878043365,81.3158151649449,0.0281160560345603,0.0196738854990048,0,"relative convergence (4)"
34029,7,16117.9214516683,18736.6919407633,160.232279824458,171.788585623249,0.0464853797704056,0.0645227962270702,0,"relative convergence (4)"
34029,8,16010.8369551045,17086.790897031,41.9157565455734,42.412782575944,0.00918841841906076,0,0,"relative convergence (4)"
34029,9,17499.1544078072,17681.234560814,17.5532014552657,19.5922026629596,0.0236159080511636,0.0237872839141679,0,"relative convergence (4)"
34029,10,22365.9460239756,21380.3890084139,35.1154262570685,36.3614925227781,0.631625466622031,0.720020073545541,0,"relative convergence (4)"
34029,11,22356.3473309879,21274.3657909714,46.8635235531341,41.3773043044822,0.182375117280712,0.115611688309294,0,"relative convergence (4)"
34029,12,19773.9588192616,19133.2348032032,146.1280688159,138.405609782913,0.00507559010686955,0,0,"relative convergence (4)"
34029,13,16658.9721061653,17073.5799282671,309.152189652377,324.46355592159,0.00227694097481929,0,0,"relative convergence (4)"
34029,14,15916.2825747906,16216.2081506763,122.906330776591,148.122097615854,0.00594552102039861,0.0192944648035361,0,"relative convergence (4)"
34029,15,17059.6081159032,19106.4737983895,87.0203247095052,130.455033843417,0.109727128613723,0.0639413568280905,0,"relative convergence (4)"
34029,16,26643.2819545198,28747.3039560228,99.1799917624535,125.81819836053,0.766762587982798,0.837758473919573,0,"relative convergence (4)"
34029,17,32142.4570192658,33882.270859526,51.6301404979779,43.759986036451,0.622654034220719,0.725532508290889,0,"relative convergence (4)"
34029,18,32455.6255648138,34279.5377693023,53.2194548119029,52.3804066950755,0.00670541901933477,0,0,"relative convergence (4)"
34029,19,35145.1519046163,35145.2959460223,58.1531916600922,55.0947573281952,0.0954447528078899,0.0731841169733912,0,"relative convergence (4)"
34029,20,33271.6319247583,33047.1302545845,70.534797780062,55.4083918106899,0.154109679626384,0.125338596722607,0,"relative convergence (4)"
34029,21,31886.7652640522,29119.9496758372,195.479328896825,153.222356094295,0.0321798634466675,0.0712126835710018,0,"relative convergence (4)"
34029,22,26866.5336036991,26155.9308638135,55.1437771613588,45.7189473360139,0.0491527873276049,0.0438545083370747,0,"relative convergence (4)"
34029,23,26531.4141789074,24298.3763162861,99.7068600695271,93.7058106738174,0.230808147855982,0.220837393833249,0,"relative convergence (4)"
34029,24,26502.228386783,24872.4554251609,122.454918178079,106.723499418845,0.401527565290693,0.335629365340148,0,"relative convergence (4)"
34029,25,27984.8903922022,24812.0513360141,135.275543094715,106.308324459188,0.387670705218708,0.512085033155747,0,"relative convergence (4)"
34029,26,27854.2731128508,23332.0208307824,273.315077064469,218.257989721145,0.00708055787805381,0,0,"relative convergence (4)"
34029,27,31818.5017556228,24618.2280037069,47.0158992163013,32.2191654656582,0.327880565859748,0.228038535707473,0,"relative convergence (4)"
34029,28,37111.4105094256,26050.1957927368,13.599777637843,8.67369709941209,0.435095903502592,0.550412131214087,0,"relative convergence (4)"
34029,29,38307.7391485262,28960.3403830863,19.3558513515508,15.3158750056306,0.632251922280476,0.566238070647202,0,"relative convergence (4)"
34029,30,38443.1935280897,28874.8093031058,26.4501055905852,21.9140145448127,0.456287296392072,0.584449360471151,0,"relative convergence (4)"
34029,31,25545.5396898693,23662.3212335074,45.1121778316412,42.5901349608106,0.00139407837819864,0,0,"relative convergence (4)"
34029,32,20652.2415863539,19612.5620088574,33.9517297991049,32.4502372622305,0.00113345040204635,0,0,"relative convergence (4)"
34029,33,18034.5810871302,16660.9473782196,8.85011954559564,7.39016373503243,0.00227876645899969,0,0,"relative convergence (4)"
34029,34,16266.0339425746,15030.846692181,12.0988911628682,10.7592070042761,0.00274330899605675,0,0,"relative convergence (4)"
34029,35,15593.4188401436,13983.7257375737,22.3193333777374,19.9710381412366,0.00267829150742735,0,0,"relative convergence (4)"
34029,36,13748.1177513023,12285.8534187017,653.310464053485,532.509394300928,0.00239495760879773,0,0,"relative convergence (4)"
34029,37,11430.550381443,10376.0220473578,418.028993002798,335.320282204662,0.00174908143299823,0,0,"relative convergence (4)"
34029,38,10256.9701150804,10912.3730051335,118.814962483146,117.593723666838,0.00261763718635686,0,0,"relative convergence (4)"
34029,39,24071.354196953,25708.0688196954,105.518913953578,107.472293018519,0.888835599582106,0.811270732480271,0,"relative convergence (4)"
34029,40,38573.6307901702,42482.3304785647,174.831313010803,150.061924042938,0.82181433125297,0.966554047288636,0,"relative convergence (4)"
34029,41,36694.1973719124,44250.8144622095,121.680075315451,142.259436874962,0.336131796261748,0.45611052033568,0,"relative convergence (4)"
34029,42,38113.358717883,42196.9804377973,172.738746583907,195.196193815856,0.01531946558325,0,0,"relative convergence (4)"
34029,43,39276.6879440889,41791.5679891077,106.062280630314,108.729494340929,0.227364067498286,0.259486411638893,0,"relative convergence (4)"
