"seed","year","true_ssb","est_ssb","true_rec","est_rec","true_infection","est_infection","convergence","message"
34029,1,54030.9624720975,44757.6829985819,199.639633929524,132.366529699954,0.693869403442909,0,0,"relative convergence (4)"
34029,2,47154.8871668497,40789.1403385748,265.076269284434,210.312431955012,0.00766217449626448,0,0,"relative convergence (4)"
34029,3,41951.7468887099,35829.3880712661,24.7786762345358,22.0436570426298,0.00433686743897468,0,0,"relative convergence (4)"
34029,4,42259.680402055,34658.3947309942,50.5746464840649,38.4148387916294,0.179519314558404,0,0,"relative convergence (4)"
34029,5,45793.720008444,37255.8394462053,152.93115066045,112.671652657763,0.66719843551107,0,0,"relative convergence (4)"
34029,6,40405.4668827046,36187.7086672138,738.853941617056,642.144986420316,0.13420493318626,0,0,"relative convergence (4)"
34029,7,35011.9189000202,31188.4628591963,67.7858935407503,60.8961916351276,0.00680283776490653,0,0,"relative convergence (4)"
34029,8,36087.7576894223,31273.4148698795,37.0072766360892,36.4553464224061,0.0722049224604026,0,0,"relative convergence (4)"
34029,9,53970.8718042668,46518.7361893962,28.2406189802628,13.7378959991624,0.895643547092906,0,0,"relative convergence (4)"
34029,10,56452.1923875359,51083.9659731646,23.5579049936356,20.3860866611293,0.81143155808728,0,0,"relative convergence (4)"
34029,11,45217.5713052595,44838.8309940389,40.091738512965,31.6849226522301,0.00179178993822348,0,0,"relative convergence (4)"
34029,12,38075.2720603632,37396.8975201071,115.983085062819,94.1512925134785,0.00133079278872567,0,0,"relative convergence (4)"
34029,13,31782.4450340377,30740.7989021029,103.399433523313,88.0535878803276,0.00166469536411815,0,0,"relative convergence (4)"
34029,14,27175.3008166361,25894.8155167009,362.883640298906,351.449777975421,0.00207607222807115,0,0,"relative convergence (4)"
34029,15,26147.2529975298,24213.4550941304,71.3287241333213,68.066108215644,0.00495765673254939,0,0,"relative convergence (4)"
34029,16,28052.1152495644,25432.5172596288,11.1013317422752,10.6288882963115,0.140382113503545,0,0,"relative convergence (4)"
34029,17,35478.1983390071,33167.380210679,9.9714971290127,8.69646748736644,0.749610989454448,0,0,"relative convergence (4)"
34029,18,35615.792164656,33851.8797422484,6.51291586262177,7.63630595108181,0.612397684072521,0,0,"relative convergence (4)"
34029,19,29170.0290035946,30115.7590807153,17.2020329451483,15.8786380817281,0.00179268737029129,0,0,"relative convergence (4)"
34029,20,23999.2911678786,24741.0110294571,7.73790519706351,8.33492578648655,0.00128569099768956,0,0,"relative convergence (4)"
34029,21,19484.1582293144,20069.5937926138,57.1518877163167,55.8390414623022,0.002004912417649,0,0,"relative convergence (4)"
34029,22,15970.6148316207,16421.8936897278,33.1596623730107,27.4088174351685,0.00297327719221584,0,0,"relative convergence (4)"
34029,23,13382.218578358,13719.7190602056,92.9163054338793,88.3641862139229,0.00223481604246949,0,0,"relative convergence (4)"
34029,24,12497.5640198402,12718.981406226,27.9780805784084,23.3306098880016,0.00193620993910917,0,0,"relative convergence (4)"
34029,25,12655.4452033477,12621.5966696031,15.4630412597778,13.1698712231116,0.00207163423295363,0,0,"relative convergence (4)"
34029,26,13853.9791445194,13520.2591908835,8.84133655886684,8.51361534848334,0.00592754642357828,0,0,"relative convergence (4)"
34029,27,14443.0545689469,13910.6716987367,2.90540436639536,3.19778529412637,0.0578166511752906,0,0,"relative convergence (4)"
34029,28,12859.5460785557,12386.6949229645,33.8569031332019,29.9236856741861,0.0170590119689554,0,0,"relative convergence (4)"
34029,29,10921.3025900187,10487.5402422632,24.1636830197462,25.4682606083632,0.00701552055687711,0,0,"relative convergence (4)"
34029,30,9091.71912206178,8739.09918049746,402.463425633474,363.85336301691,0.154375588400595,0,0,"relative convergence (4)"
34029,31,8015.81948216756,7918.92241441309,321.808495555744,302.389895267356,0.00925790710583757,0,0,"relative convergence (4)"
34029,32,9294.9332720704,9036.97515265609,114.979392720309,101.323227080279,0.00415295042643654,0,0,"relative convergence (4)"
34029,33,20817.674419879,19481.7325831565,95.8531498886501,99.7154459879029,0.847772848009991,0,0,"relative convergence (4)"
34029,34,33144.9345215961,31686.0496457699,54.996360718095,47.9137479866418,0.801699153002251,0,0,"relative convergence (4)"
34029,35,35438.4471808545,33409.1191583694,64.5779589225968,53.9339821376318,0.459547163851104,0,0,"relative convergence (4)"
34029,36,33562.6394255,32795.8853628924,96.022092255056,82.2228031927716,0.00585831991779269,0,0,"relative convergence (4)"
34029,37,31528.6087071148,30798.8816426835,709.956640643504,583.082350685934,0.00811474248308235,0,0,"relative convergence (4)"
34029,38,28970.3153932759,27898.8091814983,629.615702443577,609.449921878559,0.010443198661657,0,0,"relative convergence (4)"
34029,39,29988.4548017175,28043.8790758201,250.795783503923,291.52864060768,0.11345879521591,0,0,"relative convergence (4)"
34029,40,48591.8539203112,43493.7022685942,479.765995128326,473.826548608812,0.893506372910891,0,0,"relative convergence (4)"
34029,41,68527.9176564315,68863.319743313,59.6773216096577,55.2728743453959,0.877823244249465,0,0,"relative convergence (4)"
34029,42,73543.956473549,79593.961009484,64.0149297788691,65.8395008591619,0.706966216838888,0,0,"relative convergence (4)"
34029,43,76277.8621576727,83099.7933299924,113.120449771054,133.637104567594,0.662788542701219,0,0,"relative convergence (4)"
